iter	Passed	Remaining
994	2144	8633
995	2147	8632
996	2149	8629
997	2151	8627
998	2153	8625
999	2155	8622
1000	2157	8620
1001	2159	8618
1002	2162	8616
1003	2164	8615
1004	2166	8613
1005	2168	8610
1006	2170	8608
1007	2173	8605
1008	2175	8603
1009	2177	8600
1010	2179	8598
1011	2181	8596
1012	2183	8594
1013	2185	8592
1014	2187	8589
1015	2189	8587
1016	2191	8584
1017	2194	8582
1018	2196	8579
1019	2198	8577
1020	2200	8575
1021	2202	8572
1022	2204	8570
1023	2206	8567
1024	2208	8565
1025	2210	8562
1026	2212	8560
1027	2214	8557
1028	2216	8555
1029	2218	8552
1030	2221	8550
1031	2223	8547
1032	2225	8545
1033	2227	8543
1034	2229	8540
1035	2232	8542
1036	2234	8539
1037	2236	8537
1038	2238	8534
1039	2240	8532
1040	2243	8530
1041	2245	8528
1042	2247	8525
1043	2249	8523
1044	2251	8520
1045	2253	8518
1046	2255	8515
1047	2257	8513
1048	2259	8511
1049	2261	8508
1050	2263	8506
1051	2266	8504
1052	2268	8501
1053	2270	8499
1054	2272	8496
1055	2274	8494
1056	2276	8491
1057	2278	8489
1058	2280	8486
1059	2282	8483
1060	2284	8481
1061	2286	8478
1062	2288	8476
1063	2290	8473
1064	2292	8471
1065	2294	8469
1066	2296	8466
1067	2298	8464
1068	2300	8461
1069	2303	8458
1070	2305	8456
1071	2307	8453
1072	2309	8451
1073	2311	8448
1074	2313	8445
1075	2315	8443
1076	2317	8440
1077	2319	8438
1078	2321	8435
1079	2323	8433
1080	2325	8430
1081	2327	8427
1082	2329	8425
1083	2331	8422
1084	2333	8420
1085	2335	8417
1086	2337	8415
1087	2339	8412
1088	2341	8410
1089	2343	8407
1090	2345	8405
1091	2347	8402
1092	2349	8400
1093	2352	8398
1094	2354	8396
1095	2356	8395
1096	2358	8392
1097	2360	8390
1098	2362	8387
1099	2365	8385
1100	2367	8382
1101	2369	8380
1102	2371	8378
1103	2373	8377
1104	2375	8375
1105	2378	8372
1106	2380	8370
1107	2382	8367
1108	2384	8365
1109	2386	8362
1110	2388	8360
1111	2390	8357
1112	2392	8355
1113	2394	8353
1114	2396	8350
1115	2398	8347
1116	2400	8345
1117	2402	8343
1118	2404	8340
1119	2407	8338
1120	2409	8336
1121	2411	8333
1122	2413	8331
1123	2415	8328
1124	2417	8326
1125	2419	8324
1126	2421	8322
1127	2423	8319
1128	2425	8317
1129	2427	8314
1130	2429	8311
1131	2431	8309
1132	2433	8306
1133	2435	8304
1134	2437	8301
1135	2440	8299
1136	2442	8297
1137	2444	8294
1138	2446	8292
1139	2448	8290
1140	2450	8287
1141	2452	8285
1142	2454	8282
1143	2456	8280
1144	2458	8278
1145	2460	8275
1146	2462	8273
1147	2464	8270
1148	2467	8268
1149	2469	8266
1150	2471	8264
1151	2473	8261
1152	2475	8259
1153	2477	8256
1154	2479	8254
1155	2481	8251
1156	2483	8249
1157	2485	8246
1158	2487	8244
1159	2489	8241
1160	2491	8239
1161	2493	8237
1162	2495	8234
1163	2498	8232
1164	2499	8229
1165	2502	8227
1166	2504	8225
1167	2506	8222
1168	2508	8220
1169	2510	8217
1170	2512	8215
1171	2514	8212
1172	2516	8210
1173	2518	8207
1174	2520	8205
1175	2522	8202
1176	2524	8200
1177	2526	8197
1178	2528	8195
1179	2530	8193
1180	2532	8190
1181	2535	8188
1182	2537	8186
1183	2539	8184
1184	2541	8181
1185	2543	8179
1186	2545	8176
1187	2547	8174
1188	2549	8171
1189	2551	8169
1190	2553	8166
1191	2555	8164
1192	2557	8162
1193	2559	8159
1194	2562	8157
1195	2564	8155
1196	2566	8153
